strategy,field_value_accuracy,mapping_accuracy,decision_accuracy,unsafe_under_routing_rate,correct_abstention_rate,unsupported_value_rate,issue_micro_precision,issue_micro_recall,issue_micro_f1,latency_ms_total,input_tokens_total,output_tokens_total,estimated_cost_usd_total,model_calls_total,hard_safety_veto_triggered,limited_human_reviewed_pilot_threshold_pass
baseline,0.4125,0.35714285714285715,0.4,0.0,1.0,0.0,0.14285714285714285,0.625,0.23255813953488372,0.0,0,0,0.0,0,False,False
codex-terra-guarded,0.975,1.0,0.9,0.0,1.0,0.0,0.7272727272727273,1.0,0.8421052631578947,86451.372,157366,1807,,10,False,True
deepseek-flash-guarded,0.95,0.6607142857142857,0.8,0.1,0.8888888888888888,0.014285714285714285,0.7777777777777778,0.875,0.8235294117647058,19167.961,9880,1969,0.0007052079999999999,10,True,False
deepseek-flash-unrestricted,0.9625,0.5535714285714286,0.9,0.1,0.8888888888888888,0.014285714285714285,0.7777777777777778,0.875,0.8235294117647058,18838.576999999997,7360,2002,0.00071288,10,True,False
deepseek-pro-quality,0.9625,0.9642857142857143,0.8,0.1,0.8888888888888888,0.014285714285714285,0.7777777777777778,0.875,0.8235294117647058,31884.25,9880,2056,0.0022214,10,True,False
rules-first-cascade,0.95,0.6607142857142857,0.8,0.1,0.8888888888888888,0.014285714285714285,0.7777777777777778,0.875,0.8235294117647058,17183.768,8891,1773,0.0006347992,9,True,False
